지사명,합계,기초연금(지자체),장애인연금(지자체),희망키움통장(지자체),노인일자리사업(지자체),통합사례관리(지자체),긴급복지지원제도(지자체),가사-간병방문지원(지자체),주택연금(한국주택 금융공사),농지연금(한국농어촌공사),서민금융 지원제도(시민금융진흥원),소상공인지원 제도(소상공인 시장진흥공단),법률복지서비스(대한법률구조공단),여성취업지원서비스(여성새로일하기센터),귀농귀촌지원 제도(귀농귀촌종합센터),마이홈 주거상담(LH한국토지주택공사),퇴직연금(근로복지공단),노란우산공제(중소기업중앙회),직접입력
종로중구,21,18,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
동대문중랑,119,118,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
성북강북,138,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
도봉노원,45,39,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0
성동광진,107,102,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
송파,134,129,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0
강동하남,287,280,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0
서울남부지역본부,84,79,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0
서초,166,156,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
관악,361,359,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울북부지역본부,56,44,0,0,0,0,0,0,10,0,1,0,0,0,0,1,0,0,0
구로금천,163,141,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
영등포,17,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
강서,44,42,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
은평,253,250,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
양천,168,161,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0
용산,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남역삼,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산지역본부,297,289,0,0,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0
동작,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
중부산,108,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서부산,326,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
북부산,5,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
동래금정,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남부산,114,107,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
동부산,210,201,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
부산사상,194,193,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
대구지역본부,264,239,0,2,2,0,2,0,15,2,2,0,0,0,0,0,0,0,0
서대구,231,225,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
동대구,181,179,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
대구수성,109,97,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
대구달성고령,9,2,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0
남동연수,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서인천,96,88,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
부평계양,135,127,0,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,0
남인천,218,210,0,0,3,1,1,0,1,0,0,0,0,2,0,0,0,0,0
김포강화,6,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
광주지역본부,138,55,1,0,4,4,30,0,27,0,6,1,0,0,1,7,0,2,0
동광주,140,122,0,1,1,0,3,1,4,0,1,1,1,2,2,1,0,0,0
북광주,165,164,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
대전지역본부,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
동대전,6,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
북대전,62,51,0,6,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0
대전세종지역본부,24,7,0,2,2,1,2,0,6,2,1,0,0,0,0,1,0,0,0
서대전,26,11,0,3,0,0,0,0,9,1,2,0,0,0,0,0,0,0,0
남울산,276,269,1,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0
동울산,75,65,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0
경인지역본부,118,102,0,1,5,2,1,1,4,0,1,0,0,0,0,0,0,1,0
안양과천,102,98,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
분당,363,362,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
이천여주,295,293,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
평택안성,23,12,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0
광명,5,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
안산,56,51,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
부천,28,19,2,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0
고양일산,27,23,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
의정부,28,26,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
구리양평,198,195,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
처인기흥,171,166,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
화성오산,297,289,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
시흥,46,39,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0
군포의왕,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파주,16,8,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0
포천철원,177,176,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
경기광주,54,45,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
북수원,101,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
고양덕양,77,72,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
남양주,222,162,0,0,1,0,0,0,16,0,2,2,0,3,0,22,7,7,0
수정중원,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수지,35,31,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
강릉,291,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
춘천,152,136,0,1,1,0,1,0,10,0,3,0,0,0,0,0,0,0,0
원주,79,71,0,0,1,0,1,0,4,0,2,0,0,0,0,0,0,0,0
삼척,233,231,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
홍천,114,112,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
동청주,21,4,0,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0
충주,42,34,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0
옥천,108,104,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
서청주,98,93,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
천안,16,1,0,0,0,0,1,0,13,1,0,0,0,0,0,0,0,0,0
예산홍성,66,60,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
보령,93,88,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
공주부여,121,116,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
서산태안,65,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
세종,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아산,216,215,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
